Issuer_place;Issuer_Latitude;Issuer_Longitude;Vorkommen
Freudenberg (Baden);49,75159;9,32669;1
Freudenberg (Siegerland);50,9041091;7,8780782;1
Freudenstadt;48,4644796;8,4179988;1
Friedberg (Bayern);48,3559766;10,9865457;1
Fritzdorf;50,5950412;7,0888527;1
Fritzlar;51,1330809;9,2742641;3
Frontenhausen;48,5446838;12,5259688;1
Frýdštejn;50,6522569;15,1587669;1
Fulda;50,5558095;9,6808449;4
Füssen;47,569648;10,7004328;2
Gabsheim;49,8277139;8,1715383;1
Gaimersheim;48,810743;11,3691007;1
Gambach (Karlstadt);50,002778;9,756667;1
Garsten;48,0230339;14,4043849;1
Gau-Algesheim;49,9584771;8,0173325;2
Gau-Bickelheim;49,8366835;8,0174437;1
Gau-Bischofsheim;49,911535;8,2764514;1
Gau-Odernheim;49,7834592;8,1907005;2
Geisenheim;49,9864335;7,9666942;3
Geltendorf;48,1214815;11,0285505;1
Gemünden;;;1
Gernsheim;49,7574082;8,4885231;2
Gerode;51,5209325;10,4200456;2
Gersheim;49,1475624;7,2034432;1
Gießen;50,5840512;8,6784031;1
Ginsweiler;49,6524974;7,6488749;1
Glanegg/Neuhaus;;;1
Gonsenheim;50,0016764;8,2039952;2
Grafenrheinfeld;50,0039182;10,1994114;1
Graz;47,070714;15,439504;2
Griesheim;49,861426;8,5676441;1
Großhausen;48,5007181;11,1503964;1
Großheubach;49,7272442;9,2218562;2
Großrinderfeld;49,6652396;9,7334546;1
Groß-Umstadt;49,8701538;8,9263447;1
Grünberg;50,5926747;8,9582718;2
Gundersheim;49,6947804;8,199783;1
Guntersblum;49,797222;8,345556;1
Gut Keudelstein;51,208908;10,183513;1
Gutenberg (b. Bad Kreuznach);49,879722;7,798611;1
Haag;52,0704978;4,3006999;1
Hachenburg;50,6594651;7,8209622;1
Hadamar;50,4468164;8,0454623;1
Halberstadt;51,8948709;11,0496159;1
Hallein;47,683056;13,096944;1
Hallenburg;51,1126638;8,6195751;1
Hallgarten;;;1
Hallstadt;49,9269704;10,8810085;1
Hammelburg;50,1185626;9,891789;1
Hamont;51,2697668;5,5154222;1
Hanau;50,1264123;8,9283105;2
Hanau-Steinheim;50,106389;8,913611;3
Hanhofen;49,316111;8,343056;1
Hardheim;49,6110217;9,4729833;1
Harheim;50,1838383;8,6835847;1
Haslach;48,2773714;8,0900012;1
Haßfurt;50,0343812;10,5169747;1
Hattenheim;50,0151288;8,0560923;1
Hattingen;51,4018117;7,1911567;1
Heddesheim;49,5077027;8,6059128;1
Heideck;49,13259;11,12611;1
Heidelberg;49,3987524;8,6724335;1
Heilbronn;49,1426929;9,210879;1
Heiligenstadt;51,3770297;10,1439107;3
Heiligkreuztal;48,132627;9,4020544;1
Heimbach (Eifel);50,6333925;6,4807774;2
Heimbuchenthal;49,8825012;9,2934972;1
Hemau;49,052933;11,7818442;1
Hemsbach;49,5919707;8,64605;1
Herve;50,639444;5,794167;1
Heßloch;50,1106735;8,2953683;1
Heustenstamm;50,0554864;8,7999301;2
Hildburghausen;50,4263293;10,7312097;1
Hillesheim (Rheinhessen);50,2916294;6,6718305;1
Hipsheim;48,467026;7,675015;1
Hochaltingen;48,9649062;10,4994482;1
Hochheim a. Main;50,0147576;8,3558664;1
Hofheim a. Taunus;50,0841829;8,4432295;5
Hofheim i. Unterfranken;50,1384866;10,5233354;1
Hofstetten;47,477774; 7,515288;1
Hohenmölsen;51,1563786;12,0998513;1
Hohenwang;47,5554815;15,6166251;1
Homburg;49,3295827;7,3398428;1
Homburg a. Main;49,7917878;9,623145;1
Hunsangen;50,4547866;7,9873738;1
Idstein;50,2171726;8,265894;1
Imst;47,24013;10,73954;3
Ingelheim;49,9764195;8,0560682;1
Ingolstadt;48,7665351;11,4257541;1
Isola;46,44352936;9,332786807;1
Jöhlingen;49,0286273;8,5792306;1
Justingen;48,3872907;9,6640303;1
Kalbach;50,4051038;9,6722433;1
Kalenberg;52,7762674;5,9560481;1
Kärlich;50,3873733;7,4952241;2
Karlstadt;49,9604785;9,7734603;1
Katzenelnbogen;50,2687235;7,9758088;1
Kaut;50,106944;7,758611;1
Kaysersberg;48,13889;7,264023;1
Kemel;50,165;8,016667;1
Kiedrich;50,0401175;8,082582;2
Kirberg;50,31;8,163333;1
Kirtorf;50,7688674;9,1051944;1
Kisselbach;50,0513659;7,6096502;1
Kißlau;49,2352532;8,458036;1
Kitzbühel;47,4492375;12,3925407;2
Kitzingen;49,7340805;10,1473777;3
Kladruby;49,7153076;12,979921;1
Kleinwallstadt;49,8722681;9,1667763;1
Klein-Winternheim;49,9401911;8,2138807;2
Klingenberg;49,7805714;9,1830957;2
Klotten;50,1647261;7,2004981;1
Koblenz;50,3569429;7,5889959;16
Koblenz-Niederberg;50,3712472;7,6252109;3
Köln;50,937531;6,9602786;4
Königstein;50,9178107;14,0753506;1
Königstetten;48,3025316;16,1490601;2
Konstanz;47,6779496;9,1732384;2
Kottingbrunn;47,9496783;16,2290581;1
Kransberg;50,3453457;8,5979751;1
Krautheim;49,3826557;9,6343905;2
Kremsmünster;48,0543599;14,1261878;1
Kronach;50,2359898;11,3310482;1
Kröv;49,9770407;7,0834497;1
Kufstein;47,58237;12,16275;1
Külsheim;49,6676654;9,5181225;1
Lachaussée;49,037017;5,819599;1
Landeck;47,14057;10,56558;1
Landstuhl;49,4141464;7,5709052;1
Langendiebach;50,1688971;8,9807517;1
Langenschwalbach;50,1416283;8,0674608;3
Lauda (Lauda-Königshofen);49,56605;9,70674;3
Laudenbach (Unterfranken);49,745833;9,176111;1
Lauf a. d. Pegnitz;49,5110483;11,2780245;1
Laufen;47,42218;7,50051;1
Lauterbourg;48,975278;8,173889;1
Leipzig;51,3396955;12,3730747;1
Lengfurt;49,8127711;9,6036461;1
Lennep;51,192591;7,257092;1
Leuchtenberg;49,5975852;12,258924;2
Libá;50,128611;12,229722;1
Lichtenau;51,6165767;8,8951166;1
Lichtenfels;50,1432937;11,0630388;1
Limburg a. d. Lahn;50,383333;8,066667;7
Lindenholzhausen;50,3765797;8,1202903;2
Linz a. Rhein;50,568141;7,284787;1
Loco (Onsernone);46,20222;8,67157;1
Lohr a. Main;49,9892207;9,5722309;4
Lorch;50,044097;7,80375;4
Louny;50,355833;13,805278;1
Lübeck;53,8654673;10,6865593;1
Lüdinghausen;51,768214;7,4465617;1
Luftenberg;48,273152;14,4139584;1
Lumnezia;46,71766;9,17366;1
Lüttich;50,6325574;5,5796662;1
Luxemburg;49,815273;6,129583;1
Mainz;49,9928617;8,2472526;44
Mainz-Kastel;50,0192814;8,2806368;2
Mainz-Kostheim;50,007646;8,3003089;1
Mainz-Mombach;50,0201939;8,2280816;1
Mainz-Weisenau;49,9814465;8,2964095;7
Mals;46,690278;10,541667;1
Mannheim;49,4874592;8,4660395;4
Marbach;47,39202;9,56889;1
Markelsheim;49,4758521;9,833852;2
Marktheidenfeld;49,8454938;9,6088146;2
Marktoberdorf;47,7784831;10,6158265;1
Martinstein;49,8027545;7,5427099;3
Mattsee;47,9703866;13,1047752;1
Maubach (Herzogenrath);50,866667;6,1;1
Mayen;50,3279651;7,2272625;1
Medebach;51,200192;8,7003377;3
Meiningen;50,5739121;10,4190129;1
Melk;48,22647;15,34996;1
Mellrichstadt;50,4279343;10,3029567;1
Menaggio;46,0217068;9,2388285;3
Mengerskirchen;50,564593;8,1541883;2
Miltenberg;49,7019294;9,2559214;5
Molsdorf;50,9008892;10,9505737;1
Molsheim;48,543715;7,491512;1
Monreal;50,3003791;7,1640076;1
Montabaur;50,4358385;7,8257953;1
Monzingen;49,7993163;7,5914908;1
Moosbach;49,5885454;12,4089718;1
Mörsfeld;49,7440333;7,9327025;1
Mosbach;49,3489153;9,1293829;1
Moselkern;50,1936576;7,3686305;1
Motten;50,3968244;9,771928;1
Muckensturm (Heddesheim);49,505278;8,603333;1
Muggensturm;48,8696412;8,2767765;1
Mühldorf a. Inn;48,2457722;12,5219895;1
München;48,1351253;11,5819805;3
Münnerstadt;50,247561;10,1944102;1
Münster;51,9606649;7,6261347;2
Münstermaifeld;50,2482884;7,3623506;2
Münstertal;47,8545108;7,7842144;1
Murnau a. Staffelsee;47,674167;11,201667;1
Nastätten;50,1983526;7,8570246;1
Natternberg;48,8235785;12,9082152;1
Naumburg;51,1520283;11,8142454;3
Neckarsulm;49,1922581;9,2287089;1
Nederweert;51,2865631;5,7527014;1
Nentershausen;51,0137104;9,9363704;1
Nesselwang;47,6236401;10,5011931;1
Neuburg a. Inn;48,5102389;13,445094;1
Neufchâteau ;48,354965;5,694596;2
Neukirchen;48,97524;12,75561;1
Neukirchen (Knüll);50,8691184;9,343333;1
Neustadt (Hessen);50,881111;9,109444;5
Neustadt a. d. Saale;50,3230337;10,2028107;3
Nidda;50,4127451;9,0078758;1
Niederemmel;49,8801526;6,9262535;2
Niedergandern;51,3940516;9,937152;1
Niederhöchststadt;50,1563842;8,5487331;1
Niederlauterbach;48,972747;8,099286;1
Niedernai;48,4498559;7,515603;1
Nieder-Olm;49,9048667;8,203454;1
Nierstein;49,869463;8,3371906;2
Nordheim a. Main;49,8591272;10,1848392;1
Nörten-Hardenberg;51,6254389;9,9376291;1
Nová Cerekev;49,4172372;15,1167492;1
Nürnberg;49,4521018;11,0766654;2
Nußbaum;49,800278;7,615;1
Nysa;51,395434;14,9579869;2
Oberbronn;48,941111;7,606944;1
Oberdiebach;50,0332632;7,7771063;2
Oberdollendorf;50,6996939;7,1884121;1
Oberehnheim;48,46226;7,48168;1
Ober-Erlenbach;50,2259547;8,6787291;2
Oberginsbach;48,4216984;11,0648803;1
Ober-Hilbersheim;49,9001959;8,0293525;1
Oberhöchstadt;50,1799521;8,5383137;1
Oberlahnstein;50,29993;7,6042046;2
Ober-Mörlen;50,3726286;8,6923182;4
Obernburg;49,8381779;9,1323585;2
Ober-Olm;49,9385055;8,1940383;1
Oberursel;50,2025478;8,5770309;5
Oberwesel;50,1065003;7,7272551;4
Oberwöllstadt;50,2966382;8,7537156;2
Ochsenfurt;49,6640025;10,0709014;1
Ockstadt;50,3328412;8,7216562;1
Offstein;49,6060311;8,2374556;1
Okriftel;50,0554041;8,4952896;1
Olpe;51,0282107;7,8502943;2
Olten;47,3499624;7,9037034;1
Oppenheim;49,848889;8,356111;5
Orbisfelde;52,4348667;10,9895346;1
Orcier;46,3125;6,491944;1
Osterburken;49,4287818;9,4243442;1
Osterspai;50,2450264;7,6139377;2
Ostrov (Mutěnín);49,5424546;12,7109783;1
Öttingen i. Bayern;48,9517515;10,6021053;1
Paderborn;51,7189205;8,7575093;1
Petit-Rechain;50,6144;5,83447;1
Peuerbach;48,3447243;13,7708033;3
Pfaffstetten;48,53007;15,84917;1
Pforzheim;48,8921862;8,6946286;1
Pinkafeld;47,3738655;16,1252697;1
Planá;49,8681673;12,7437969;1
Pleystein;49,6474338;12,4082059;1
Počátky;49,2602014;15,2402243;1
Pommern (Mosel);50,1702272;7,27264;1
Prad;46,6218409;10,5914004;1
Prag;50,088611;14,421389;1
Püttlingen;49,2833295;6,8832311;1
Quedlinburg;51,7920562;11,141448;1
Rappoltsweiler;48,194668;7,319091;2
Rauental;;;1
Rauhenlechsberg;47,9029131;10,9358722;1
Rauschenberg;50,871389;8,915;1
Rechtenstein;48,2413204;9,5537959;1
Redwitz a. d. Rodach;50,173056;11,202222;1
Regensburg;49,0134297;12,1016236;4
Reichenau;47,6949645;9,0632546;1
Reil;50,0238699;7,1139024;1
Reistenhausen;50,021817;7,115467;1
Remlingen;49,8047228;9,6963336;1
Renchen;48,5862352;8,0118807;1
Retzbach;48,7728184;15,9922634;1
Reutte;47,48879;10,71865;1
Rhaunen;49,8643735;7,3452253;1
Rheinberg;51,5460798;6,5899097;1
Rheindorf/Hitdorf;51,05586;6,94988;1
Rheinfelden (Aargau);47,55219;7,7922914;1
Rheinfelden (Baden);47,561111;7,791667;1
Rhens;50,280489;7,618111;1
Rimpar;49,8539173;9,9599557;1
Rockenberg;50,430259;8,7357833;1
Rodemack;49,468889;6,236111;1
Rödersheim;49,429951;8,2646939;1
Rodheim;50,2659686;8,7001153;1
Rössing (Nordstemmen);52,183889;9,813056;1
Rothenburg o. d. Tauber;49,3801834;10,1867388;1
Rothenfels;49,8929338;9,5859551;5
Röttingen;49,5122355;9,9718105;1
Rottweil;48,1652577;8,628453;1
Rötz;49,341944;12,527778;1
Rübenach;50,3703135;7,5202531;1
Rück (Elsenfeld);49,8306;9,20634;1
Rüdesheim;49,9821443;7,9301124;2
Ruhlkirchen;50,7949138;9,1848234;1
Ruhner;53,3380873;11,900068;1
Rüthen;51,4925198;8,4369936;1
Saaleck (Naumburg);51,1120694;11,7000086;1
Saarburg;49,616667;6,55;1
Salzburg;47,80949;13,05501;5
Salzungen;50,8104414;10,2322338;1
Sart-lez-Spa;50,516858;5,9319544;1
Saverne;48,741963;7,361647;1
